Warning 2020-01-21 11:44:05:0628  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
Info    2020-01-21 11:44:05:0629  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1004)     Description:Connecting device, hostIP[0xc0a80117], hostPort[57584], devIP[0xc0a8010b]     Solution:
Info    2020-01-21 11:44:06:0069  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3213)     Description:Get Local Mtu [1514]!     Solution:
Info    2020-01-21 11:44:06:0081  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3339)     Description:Optimal PacketSize [1500]!     Solution:
Info    2020-01-21 11:44:06:0192  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0356)     Description:GVSP GVSPThread Start, ThreadId[6752]     Solution:
Info    2020-01-21 11:44:06:0192  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2310)     Description:GigE StreamInterEventThread Start, ThreadId[5004]     Solution:
Info    2020-01-21 11:46:40:0072  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0549)     Description:GVSP recv thread stop     Solution:
Info    2020-01-21 11:46:40:0072  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[4609], AppGetCountSucceed[4609], NetRecv[4615], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[6], LostPackets[0]     Solution:
Info    2020-01-21 11:46:40:0095  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[4609], AppGetCountSucceed[4609], NetRecv[4615], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[6], LostPackets[0]     Solution:
Info    2020-01-21 11:46:40:0097  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L4662)     Description:SetTransmissionType[0x0], nRet[0x0], GvspSendIp[0xc0a80117], GvspSendPort[57584], HostIp[0xc0a80117], HostPort[57584]     Solution:
Info    2020-01-21 11:46:40:0097  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1080)     Description:Disconnect device     Solution:
