"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"D11","SMA(DO-214AC)","-2.33mm","9.71mm","-2.33mm","9.71mm","-2.33mm","11.76mm","B","270.00","M7"
"D10","SMA(DO-214AC)","-1.48mm","16.98mm","-1.48mm","16.98mm","-1.48mm","19.03mm","B","270.00","M7"
"R51","R_3W","66.3358mm","34.1445mm","63.44mm","35.62mm","63.44mm","35.62mm","T","333.00","Res2"
"VAR1","NTC471","-8.7588mm","28.3824mm","-8.7588mm","28.3824mm","-4.9888mm","27.2824mm","T","180.00","10D471K"
"_1","检验标记3","-1543.6mm","-1607mm","74.7mm","6.4mm","-1543.6mm","-1607mm","T","360.00",""
"_1","检验标记3","-1543.6mm","-1607mm","66.06mm","6.39mm","-1543.6mm","-1607mm","T","360.00",""
"2","检验标记","-1543.6mm","-1607mm","73.9167mm","2.7mm","-1543.6mm","-1607mm","T","360.00",""
"3","PBF","-1543.6mm","-1607mm","87.4124mm","12.1632mm","-1543.6mm","-1607mm","T","360.00",""
"1","DIP-3","-1543.6mm","-1607mm","-2.5mm","-34.11mm","-1543.6mm","-1607mm","T","360.00",""
"","认证号指定位置区（顶层）","-1543.6mm","-1607mm","64.6mm","-17.5mm","-1543.6mm","-1607mm","T","360.00","Comment"
"J5","J10-AI","73.43mm","0.2mm","73.43mm","-4.8mm","73.43mm","-4.546mm","T","90.00","Comment"
"J4","J10-AI","77.7mm","-2.3mm","77.7mm","-7.3mm","77.7mm","-7.3mm","T","90.00","Comment"
"J3","J10-AI","82.1mm","-6.9mm","82.1mm","-11.9mm","82.1mm","-11.646mm","T","90.00","Comment"
"J2","J10-AI","90.9mm","-5.9mm","90.9mm","-10.9mm","90.9mm","-10.9mm","T","90.00","Comment"
"J1","J10-AI","95.4mm","-5.9mm","95.4mm","-10.9mm","95.4mm","-10.646mm","T","90.00","Comment"
"R21","R10-AI","31.2376mm","37.4478mm","31.2376mm","42.4478mm","31.2376mm","42.1938mm","T","270.00","75R 1/4W"
"C29","C7.5","45.54mm","39.477mm","45.54mm","35.66mm","45.54mm","36.9878mm","T","90.00","2.2 nF 630V"
"C30","EC2.5/5-AI","3.5mm","-8.1mm","3.5mm","-8.1mm","5.1131mm","-8.3543mm","T","180.00","10uF/25V"
"R20","R12.5_1/2W-AI","85.238mm","22.772mm","85.238mm","16.522mm","85.238mm","16.776mm","T","90.00","470K PTH 3500V 1/2W"
"R24","R12.5_1/2W-AI","90.064mm","22.772mm","90.064mm","16.522mm","90.064mm","16.776mm","T","90.00","470K PTH 3500V 1/2W"
