Row	Desig	Comp	X	Y		Rot
1	1	C0603	324	189		90
1	13	C0603	327.5	189		90
1	19	C0603	331	189		90
1	25	C0603	334.5	189		90
1	31	C0603	338	189		90
1	37	C0603	341.5	189		90
1	43	C0603	345	189		90
1	49	C0603	348.5	189		90
1	55	C0603	352	189		90
1	61	C0603	355.5	189		90
1	67	C0603	359	189		90
1	73	C0603	362.5	189		90
1	79	C0603	366	189		90
1	85	C0603	369.5	189		90
1	91	C0603	373	189		90
1	97	C0603	376.5	189		90
1	103	C0603	380	189		90
1	109	C0603	383.5	189		90
1	115	C0603	387	189		90
1	121	C0603	390.5	189		90
1	127	C0603	394	189		90
1	133	C0603	397.5	189		90
1	139	C0603	401	189		90
1	145	C0603	404.5	189		90
1	151	C0603	408	189		90
1	157	C0603	411.5	189		90
1	163	C0603	415	189		90
1	169	C0603	418.5	189		90
1	175	C0603	422	189		90
1	181	C0603	425.5	189		90
1	188	C0603	429	189		90
1	194	C0603	432.5	189		90
1	200	C0603	436	189		90
1	206	C0603	439.5	189		90
1	212	C0603	443	189		90
1	218	C0603	446.5	189		90
1	224	C0603	450	189		90
1	230	C0603	453.5	189		90
2	2	C1812	324	196		90
2	12	C1812	327.5	196		90
2	18	C1812	331	196		90
2	24	C1812	334.5	196		90
2	30	C1812	338	196		90
2	36	C1812	341.5	196		90
2	42	C1812	345	196		90
2	48	C1812	348.5	196		90
2	54	C1812	352	196		90
2	60	C1812	355.5	196		90
2	66	C1812	359	196		90
2	72	C1812	362.5	196		90
2	78	C1812	366	196		90
2	84	C1812	369.5	196		90
2	90	C1812	373	196		90
2	96	C1812	376.5	196		90
2	102	C1812	380	196		90
2	108	C1812	383.5	196		90
2	114	C1812	387	196		90
2	120	C1812	390.5	196		90
2	126	C1812	394	196		90
2	132	C1812	397.5	196		90
2	138	C1812	401	196		90
2	144	C1812	404.5	196		90
2	150	C1812	408	196		90
2	156	C1812	411.5	196		90
2	162	C1812	415	196		90
2	168	C1812	418.5	196		90
2	174	C1812	422	196		90
2	180	C1812	425.5	196		90
2	186	C1812	429	196		90
2	193	C1812	432.5	196		90
2	199	C1812	436	196		90
2	205	C1812	439.5	196		90
2	211	C1812	443	196		90
2	217	C1812	446.5	196		90
2	223	C1812	450	196		90
2	229	C1812	453.5	196		90
3	3	R2309	324	205		90
3	15	R2309	327.5	205		90
3	21	R2309	331	205		90
3	27	R2309	334.5	205		90
3	33	R2309	338	205		90
3	39	R2309	341.5	205		90
3	45	R2309	345	205		90
3	51	R2309	348.5	205		90
3	57	R2309	352	205		90
3	63	R2309	355.5	205		90
3	69	R2309	359	205		90
3	75	R2309	362.5	205		90
3	81	R2309	366	205		90
3	87	R2309	369.5	205		90
3	93	R2309	373	205		90
3	99	R2309	376.5	205		90
3	105	R2309	380	205		90
3	111	R2309	383.5	205		90
3	117	R2309	387	205		90
3	123	R2309	390.5	205		90
3	129	R2309	394	205		90
3	135	R2309	397.5	205		90
3	141	R2309	401	205		90
3	147	R2309	404.5	205		90
3	153	R2309	408	205		90
3	159	R2309	411.5	205		90
3	165	R2309	415	205		90
3	171	R2309	418.5	205		90
3	177	R2309	422	205		90
3	183	R2309	425.5	205		90
3	190	R2309	429	205		90
3	196	R2309	432.5	205		90
3	202	R2309	436	205		90
3	208	R2309	439.5	205		90
3	214	R2309	443	205		90
3	220	R2309	446.5	205		90
3	226	R2309	450	205		90
3	232	R2309	453.5	205		90
4	4	C0805	324	211		90
4	14	C0805	327.5	211		90
4	20	C0805	331	211		90
4	26	C0805	334.5	211		90
4	32	C0805	338	211		90
4	38	C0805	341.5	211		90
4	44	C0805	345	211		90
4	50	C0805	348.5	211		90
4	56	C0805	352	211		90
4	62	C0805	355.5	211		90
4	68	C0805	359	211		90
4	74	C0805	362.5	211		90
4	80	C0805	366	211		90
4	86	C0805	369.5	211		90
4	92	C0805	373	211		90
4	98	C0805	376.5	211		90
4	104	C0805	380	211		90
4	110	C0805	383.5	211		90
4	116	C0805	387	211		90
4	122	C0805	390.5	211		90
4	128	C0805	394	211		90
4	134	C0805	397.5	211		90
4	140	C0805	401	211		90
4	146	C0805	404.5	211		90
4	152	C0805	408	211		90
4	158	C0805	411.5	211		90
4	164	C0805	415	211		90
4	170	C0805	418.5	211		90
4	176	C0805	422	211		90
4	182	C0805	425.5	211		90
4	189	C0805	429	211		90
4	195	C0805	432.5	211		90
4	201	C0805	436	211		90
4	207	C0805	439.5	211		90
4	213	C0805	443	211		90
4	219	C0805	446.5	211		90
4	225	C0805	450	211		90
4	231	C0805	453.5	211		90
5	5	SOT23	324	217		0
5	11	SOT23	327.5	217		0
5	17	SOT23	331	217		0
5	23	SOT23	334.5	217		0
5	29	SOT23	338	217		0
5	35	SOT23	341.5	217		0
5	41	SOT23	345	217		0
5	47	SOT23	348.5	217		0
5	53	SOT23	352	217		0
5	59	SOT23	355.5	217		0
5	65	SOT23	359	217		0
5	71	SOT23	362.5	217		0
5	77	SOT23	366	217		0
5	83	SOT23	369.5	217		0
5	89	SOT23	373	217		0
5	95	SOT23	376.5	217		0
5	101	SOT23	380	217		0
5	107	SOT23	383.5	217		0
5	113	SOT23	387	217		0
5	119	SOT23	390.5	217		0
5	125	SOT23	394	217		0
5	131	SOT23	397.5	217		0
