Design,Comp,X,Y,Rot
1,C0603,324,189,90
13,C0603,328,189,90
19,C0603,331,189,90
25,C0603,334,189,90
31,C0603,338,189,90
37,C0603,342,189,90
43,C0603,345,189,90
49,C0603,348,189,90
55,C0603,352,189,90
61,C0603,356,189,90
67,C0603,359,189,90
73,C0603,362,189,90
79,C0603,366,189,90
85,C0603,370,189,90
91,C0603,373,189,90
97,C0603,376,189,90
103,C0603,380,189,90
109,C0603,384,189,90
115,C0603,387,189,90
121,C0603,390,189,90
127,C0603,394,189,90
133,C0603,398,189,90
139,C0603,401,189,90
145,C0603,404,189,90
151,C0603,408,189,90
157,C0603,412,189,90
163,C0603,415,189,90
169,C0603,418,189,90
175,C0603,422,189,90
181,C0603,426,189,90
188,C0603,429,189,90
194,C0603,432,189,90
200,C0603,436,189,90
206,C0603,440,189,90
212,C0603,443,189,90
218,C0603,446,189,90
224,C0603,450,189,90
230,C0603,454,189,90
2,C1812,324,196,90
12,C1812,328,196,90
18,C1812,331,196,90
24,C1812,334,196,90
30,C1812,338,196,90
36,C1812,342,196,90
42,C1812,345,196,90
48,C1812,348,196,90
54,C1812,352,196,90
60,C1812,356,196,90
66,C1812,359,196,90
72,C1812,362,196,90
78,C1812,366,196,90
84,C1812,370,196,90
90,C1812,373,196,90
96,C1812,376,196,90
102,C1812,380,196,90
108,C1812,384,196,90
114,C1812,387,196,90
120,C1812,390,196,90
126,C1812,394,196,90
132,C1812,398,196,90
138,C1812,401,196,90
144,C1812,404,196,90
150,C1812,408,196,90
156,C1812,412,196,90
162,C1812,415,196,90
168,C1812,418,196,90
174,C1812,422,196,90
180,C1812,426,196,90
186,C1812,429,196,90
193,C1812,432,196,90
199,C1812,436,196,90
205,C1812,440,196,90
211,C1812,443,196,90
217,C1812,446,196,90
223,C1812,450,196,90
229,C1812,454,196,90
3,R2309,324,205,90
15,R2309,328,205,90
21,R2309,331,205,90
27,R2309,334,205,90
33,R2309,338,205,90
39,R2309,342,205,90
45,R2309,345,205,90
51,R2309,348,205,90
57,R2309,352,205,90
63,R2309,356,205,90
69,R2309,359,205,90
75,R2309,362,205,90
81,R2309,366,205,90
87,R2309,370,205,90
93,R2309,373,205,90
99,R2309,376,205,90
105,R2309,380,205,90
111,R2309,384,205,90
117,R2309,387,205,90
123,R2309,390,205,90
129,R2309,394,205,90
135,R2309,398,205,90
141,R2309,401,205,90
147,R2309,404,205,90
153,R2309,408,205,90
159,R2309,412,205,90
165,R2309,415,205,90
171,R2309,418,205,90
177,R2309,422,205,90
